"V1" "V2"
"result.1" 1 0.027499811534701
"result.2" 2 0.0362015170973208
"result.3" 3 0.127784058748085
"result.4" 4 0.0348491926826779
"result.5" 5 0.565825314081099
"result.6" 6 0.0611196376393754
"result.7" 7 0.082897610266941
"result.8" 8 0.0357690973828087
"result.9" 9 0.0495668834622603
"result.10" 10 0.0835410271928458
"result.11" 11 0.100017315818785
"result.12" 12 0.143874405376571
"result.13" 13 0.339637667696581
"result.14" 14 0.166265360840408
"result.15" 15 0.124907266537657
"result.16" 16 0.319501209968733
"result.17" 17 0.121113632687466
"result.18" 18 0.0338642983116327
"result.19" 19 0.227315065140633
"result.20" 20 0.223584675638228
"result.21" 21 0.297061624465087
"result.22" 22 0.14532915086276
"result.23" 23 0.295484366678441
"result.24" 24 0.0608409547147524
"result.25" 25 0.0956044294740089
"result.26" 26 0.16023910069997
"result.27" 27 0.0289056614952916
"result.28" 28 0.112609271764568
"result.29" 29 0.0515779386569075
"result.30" 30 0.0341829472318474
"result.31" 31 0.53208303525377
"result.32" 32 0.171085044168513
"result.33" 33 0.03052814542996
"result.34" 34 0.0271708328277758
"result.35" 35 0.0591090772745422
"result.36" 36 0.185608483647003
"result.37" 37 0.064717495797911
"result.38" 38 0.0329293950302722
"result.39" 39 0.153376583806281
"result.40" 40 0.0272569914123964
"result.41" 41 0.0959564299088113
"result.42" 42 0.118949281762388
"result.43" 43 0.123056557194996
"result.44" 44 0.108145706188011
"result.45" 45 0.12884022256631
"result.46" 46 0.0578506633783511
"result.47" 47 0.032326691648883
"result.48" 48 0.0530359471800901
"result.49" 49 0.197935711694856
"result.50" 50 0.0778381983924998
"result.51" 51 0.195820220761319
"result.52" 52 0.122608949644281
"result.53" 53 0.0403828178526096
"result.54" 54 0.446283288693501
"result.55" 55 0.0274719074556951
"result.56" 56 0.177409753313268
"result.57" 57 0.0369402160281097
"result.58" 58 0.0684354036069293
"result.59" 59 0.171964922927664
"result.60" 60 0.445050290279513
"result.61" 61 0.0634350414409446
"result.62" 62 0.231822187723279
"result.63" 63 0.20838116660023
"result.64" 64 0.0780201494088153
"result.65" 65 0.104901819138831
"result.66" 66 0.0341462643516599
"result.67" 67 0.184021742447698
"result.68" 68 0.119647329612014
"result.69" 69 0.0291290294291978
"result.70" 70 0.23053293294751
"result.71" 71 0.169373671397941
"result.72" 72 0.0478047796998093
"result.73" 73 0.0456836370351805
"result.74" 74 0.373312989553555
"result.75" 75 0.154861930055932
"result.76" 76 0.0432984249280716
"result.77" 77 0.753570127449386
"result.78" 78 0.0695801350841703
"result.79" 79 0.0475141312377124
"result.80" 80 0.028567454784101
"result.81" 81 0.148843124413013
"result.82" 82 0.0243853254380121
"result.83" 83 0.0662324142236647
"result.84" 84 0.0623599982434714
"result.85" 85 0.335794970690657
"result.86" 86 1.70252771002087
"result.87" 87 0.264627474613456
"result.88" 88 0.0462131252937599
"result.89" 89 0.034258997955455
"result.90" 90 0.260075184300177
"result.91" 91 0.036070853711739
"result.92" 92 0.0450889090079519
"result.93" 93 0.0462029358176785
"result.94" 94 0.198648679023397
"result.95" 95 0.146658196021436
"result.96" 96 0.132542370032523
"result.97" 97 0.0905284017058396
"result.98" 98 0.0364603031442965
"result.99" 99 0.0574297854837503
"result.100" 100 3.21829256589938
"result.101" 101 0.68372862702068
"result.102" 102 0.0330659500303335
"result.103" 103 0.0929885469750547
"result.104" 104 0.836198746678952
"result.105" 105 0.0475811137162205
"result.106" 106 0.0355956215257757
"result.107" 107 0.0920031572504697
"result.108" 108 0.0437192103574438
"result.109" 109 0.134525761177673
"result.110" 110 0.0285884942173752
"result.111" 111 0.0790701299515294
