"V1" "V2"
"result.1" 1 0.313837268247938
"result.2" 2 0.155569867379321
"result.3" 3 0.149293135383739
"result.4" 4 0.0977795439701622
"result.5" 5 2.34747375574709
"result.6" 6 0.246242485531301
"result.7" 7 0.202034713790677
"result.8" 8 0.0552638218463073
"result.9" 9 0.338153238230227
"result.10" 10 1.32534476257172
"result.11" 11 2.09680115180091
"result.12" 12 5.36184339704764
"result.13" 13 4.40162583669452
"result.14" 14 0.282629320142758
"result.15" 15 0.328040670206247
"result.16" 16 1.21275578252358
"result.17" 17 0.210529334209294
"result.18" 18 0.24164473728303
"result.19" 19 0.300154441264776
"result.20" 20 0.152092100027457
"result.21" 21 0.337094120978209
"result.22" 22 0.287087081289772
"result.23" 23 0.951579069281786
"result.24" 24 0.241653844590096
"result.25" 25 0.0656606097628426
"result.26" 26 0.10661108006176
"result.27" 27 0.957714760121362
"result.28" 28 0.748821877494836
"result.29" 29 0.236203459795581
"result.30" 30 0.592520104688612
"result.31" 31 0.34410808635439
"result.32" 32 5.11488414452863
"result.33" 33 0.136705016356294
"result.34" 34 0.275708338797363
"result.35" 35 0.201572573922429
"result.36" 36 1.53848263166425
"result.37" 37 0.95535550760616
"result.38" 38 0.161944835521927
"result.39" 39 1.16621024022688
"result.40" 40 0.175085246441204
"result.41" 41 0.376575777178004
"result.42" 42 0.537186676341727
"result.43" 43 0.582415071003719
"result.44" 44 0.619942657526169
"result.45" 45 0.779898479066578
"result.46" 46 0.384486370185077
"result.47" 47 0.194582690014289
"result.48" 48 0.245889953603843
"result.49" 49 0.368220441653462
"result.50" 50 0.332662466804993
"result.51" 51 0.522220141559643
"result.52" 52 0.45889598627137
"result.53" 53 0.30096267105506
"result.54" 54 1.84744932488641
"result.55" 55 1.69902296769916
"result.56" 56 0.510994349086306
"result.57" 57 0.268240396327549
"result.58" 58 2.1252341413928
"result.59" 59 0.349245991763692
"result.60" 60 0.486214839590994
"result.61" 61 2.2518143607682
"result.62" 62 0.387205847151688
"result.63" 63 0.361868751397141
"result.64" 64 0.105934037152405
"result.65" 65 0.256673030170147
"result.66" 66 0.216838314463849
"result.67" 67 0.260746178925809
"result.68" 68 0.0985401194871676
"result.69" 69 0.241997677582622
"result.70" 70 0.191915976767378
"result.71" 71 0.146807093034647
"result.72" 72 0.226037179717419
"result.73" 73 0.430867966853611
"result.74" 74 0.155241106960425
"result.75" 75 0.424810557998049
"result.76" 76 1.15240852626287
"result.77" 77 1.88449244699928
"result.78" 78 0.261376976875811
"result.79" 79 0.276619908798388
"result.80" 80 0.132888991159847
"result.81" 81 0.199263075757181
"result.82" 82 0.53745362926416
"result.83" 83 0.121438225361118
"result.84" 84 2.0597431295732
"result.85" 85 0.116234822153201
"result.86" 86 0.138447316859159
