"V1" "V2"
"result.1" 1 NA
"result.2" 2 5.47822560736547
"result.3" 3 16.6598118561465
"result.4" 4 7.13060285272182
"result.5" 5 14.8327866955722
"result.6" 6 1.00751419948564
"result.7" 7 14.3223369964972
"result.8" 8 NA
"result.9" 9 NA
"result.10" 10 1.49874531034248
"result.11" 11 NA
"result.12" 12 NA
"result.13" 13 1.69675808758584
"result.14" 14 16.3842690513009
"result.15" 15 7.11521196291611
"result.16" 16 0.799361271028892
"result.17" 17 NA
"result.18" 18 NA
"result.19" 19 15.5540787383606
"result.20" 20 2.68882816099306
"result.21" 21 12.1282232074737
"result.22" 22 11.9193419511835
"result.23" 23 6.14520043198931
"result.24" 24 8.3822143087007
"result.25" 25 2.44736746774633
"result.26" 26 5.21548417207311
"result.27" 27 3.38971939412952
"result.28" 28 9.70504344703874
"result.29" 29 0.842738261705192
"result.30" 30 7.71527318952134
"result.31" 31 5.9016189388352
"result.32" 32 NA
"result.33" 33 8.86762649252114
"result.34" 34 8.92255301929834
"result.35" 35 9.84625972832162
"result.36" 36 NA
"result.37" 37 2.12710448709757
"result.38" 38 1.70170684899259
"result.39" 39 6.88962069826731
"result.40" 40 2.48683244013448
"result.41" 41 10.1377193692801
"result.42" 42 6.43102689976936
"result.43" 43 10.6902077955251
"result.44" 44 17.3597130732198
"result.45" 45 9.86205176767419
"result.46" 46 5.17882904069573
"result.47" 47 0.331320217134507
"result.48" 48 5.11500073937543
"result.49" 49 3.19200545883971
"result.50" 50 10.8200358892216
"result.51" 51 2.66992497175519
"result.52" 52 8.52792430324006
"result.53" 53 11.2828481889346
"result.54" 54 NA
"result.55" 55 4.63634467764232
"result.56" 56 NA
"result.57" 57 13.8219515317907
"result.58" 58 4.59969913622307
"result.59" 59 NA
"result.60" 60 3.79504700106492
"result.61" 61 NA
"result.62" 62 2.07837917313858
"result.63" 63 NA
"result.64" 64 2.34919220383079
"result.65" 65 NA
"result.66" 66 NA
"result.67" 67 5.61735272480819
"result.68" 68 12.5365802154972
"result.69" 69 17.2188590219618
"result.70" 70 2.72247031559341
"result.71" 71 11.5101319056342
"result.72" 72 NA
"result.73" 73 NA
"result.74" 74 4.57060909536883
"result.75" 75 5.87462203528376
"result.76" 76 1.41355786957413
"result.77" 77 10.6574524623075
"result.78" 78 1.54840905573697
"result.79" 79 11.4617614986178
"result.80" 80 NA
"result.81" 81 1.74220660382334
"result.82" 82 3.77223637106501
"result.83" 83 13.0793290870535
"result.84" 84 3.18590588168368
"result.85" 85 4.33091979419898
"result.86" 86 3.725063756673
"result.87" 87 11.7081912152069
"result.88" 88 3.2281476140894
"result.89" 89 4.10235850629293
"result.90" 90 4.14039667881938
"result.91" 91 NA
"result.92" 92 14.452893506616
"result.93" 93 4.21621049502462
"result.94" 94 2.51344006046089
"result.95" 95 NA
"result.96" 96 NA
"result.97" 97 NA
"result.98" 98 NA
"result.99" 99 7.21246237633541
"result.100" 100 1.6101581176185
"result.101" 101 NA
"result.102" 102 13.4787452238811
"result.103" 103 NA
"result.104" 104 11.5856068335482
"result.105" 105 2.30365953005486
"result.106" 106 NA
"result.107" 107 10.4811282685499
"result.108" 108 11.0223279388436
"result.109" 109 2.72184025591346
"result.110" 110 11.2526727237062
"result.111" 111 8.07596263944045
"result.112" 112 0.798449552576027
"result.113" 113 13.131145584743
"result.114" 114 NA
"result.115" 115 13.108067592896
"result.116" 116 5.44057898586345
"result.117" 117 NA
"result.118" 118 NA
"result.119" 119 5.75689451982629
"result.120" 120 1.20575950903061
"result.121" 121 5.85716319284518
"result.122" 122 27.9794971100568
"result.123" 123 3.38951708733543
"result.124" 124 NA
"result.125" 125 NA
"result.126" 126 4.5203454026459
"result.127" 127 4.03583108330358
"result.128" 128 14.9058241060957
"result.129" 129 13.5501046339976
"result.130" 130 11.8102120488791
"result.131" 131 NA
"result.132" 132 2.25069022302955
"result.133" 133 3.20332502068418
"result.134" 134 3.58527388227912
"result.135" 135 1.55727577501376
"result.136" 136 7.98489031804468
"result.137" 137 NA
"result.138" 138 10.6388942216876
"result.139" 139 5.24780645457096
"result.140" 140 2.35987323175863
"result.141" 141 10.3634799651865
"result.142" 142 10.1701077145195
"result.143" 143 NA
"result.144" 144 5.44982748404267
"result.145" 145 12.5216181590089
"result.146" 146 12.4412319710046
"result.147" 147 11.1345494649
"result.148" 148 16.3115472446811
"result.149" 149 4.44355034064526
"result.150" 150 4.01653590725531
"result.151" 151 7.82580405620788
"result.152" 152 2.2869154827278
"result.153" 153 5.59134445186986
"result.154" 154 3.86504395085182
"result.155" 155 2.26348055791537
"result.156" 156 13.4865034529441
"result.157" 157 2.86139143786307
"result.158" 158 11.5759170736423
"result.159" 159 NA
"result.160" 160 3.91640246737704
"result.161" 161 6.87477076953925
"result.162" 162 2.08943279699578
"result.163" 163 1.82070210160056
"result.164" 164 7.19608241328081
"result.165" 165 4.82419942810624
"result.166" 166 6.37124783985654
"result.167" 167 4.51611142898322
"result.168" 168 5.28148307461049
"result.169" 169 0.766283855707423
"result.170" 170 13.9839792697454
"result.171" 171 NA
"result.172" 172 13.5692306601689
"result.173" 173 1.46651661035179
"result.174" 174 4.34006848785174
"result.175" 175 5.31992066179702
"result.176" 176 3.57421866752041
"result.177" 177 2.16949885107062
"result.178" 178 3.42018833894357
"result.179" 179 1.31514607635747
"result.180" 180 21.347805992543
"result.181" 181 14.6845516139006
"result.182" 182 1.46603188145062
"result.183" 183 5.07926671616379
"result.184" 184 NA
"result.185" 185 13.1816450090983
"result.186" 186 3.96418219686028
"result.187" 187 11.5912452973919
"result.188" 188 NA
"result.189" 189 2.47437470800774
"result.190" 190 NA
"result.191" 191 1.68246549787958
"result.192" 192 13.3423136708475
"result.193" 193 19.4726038141048
"result.194" 194 0.501920276975124
"result.195" 195 1.7052573210444
"result.196" 196 1.5666415973188
"result.197" 197 NA
"result.198" 198 4.44702680813413
"result.199" 199 NA
"result.200" 200 NA
"result.201" 201 3.91918179970712
"result.202" 202 3.27730379428815
"result.203" 203 NA
"result.204" 204 4.63136707327649
"result.205" 205 3.80114407437911
"result.206" 206 11.9687739642542
"result.207" 207 10.0181434829012
"result.208" 208 3.09769659237839
"result.209" 209 NA
"result.210" 210 21.067509287868
"result.211" 211 8.68092735539113
"result.212" 212 5.52040624952451
"result.213" 213 0.902389665082833
"result.214" 214 2.84460294593447
"result.215" 215 3.09011845450802
"result.216" 216 0.802542188194789
"result.217" 217 3.27004754441697
"result.218" 218 25.2353021904563
"result.219" 219 10.3674828135773
"result.220" 220 NA
"result.221" 221 0.306107727155515
"result.222" 222 0.159098063434523
"result.223" 223 4.81676513337366
"result.224" 224 2.91703706669082
"result.225" 225 12.0505916903931
"result.226" 226 19.5501108021001
"result.227" 227 1.1788347696273
"result.228" 228 1.87793473784522
"result.229" 229 1.79880864585502
"result.230" 230 1.82968919946656
"result.231" 231 1.79498922334348
"result.232" 232 1.89243227810828
"result.233" 233 NA
"result.234" 234 NA
"result.235" 235 NA
"result.236" 236 1.80115544612116
"result.237" 237 0.901845964926588
"result.238" 238 3.62683963364453
"result.239" 239 1.25063828603379
"result.240" 240 15.5549095872773
"result.241" 241 1.61666014676548
"result.242" 242 5.43167973442067
"result.243" 243 4.43215329818115
"result.244" 244 11.8258139160643
"result.245" 245 7.38695285734168
"result.246" 246 7.84832533139767
"result.247" 247 4.93810080150035
"result.248" 248 3.29159703766177
"result.249" 249 18.3652575830379
"result.250" 250 12.3907713094108
"result.251" 251 0.147878992050521
"result.252" 252 3.19321083000158
"result.253" 253 5.06714312561222
"result.254" 254 8.96823578654617
"result.255" 255 5.62422684459697
"result.256" 256 NA
"result.257" 257 3.84443166104998
"result.258" 258 3.43431718463839
"result.259" 259 14.0494843867037
"result.260" 260 13.276327259736
"result.261" 261 2.63191551377326
"result.262" 262 3.69811954361594
"result.263" 263 1.92442816217432
"result.264" 264 2.78454923184538
"result.265" 265 9.08837898316138
"result.266" 266 NA
"result.267" 267 11.9261184264194
"result.268" 268 2.23087507668409
"result.269" 269 21.9164763399796
"result.270" 270 2.59876481134201
"result.271" 271 6.3406469583581
"result.272" 272 11.8269150018974
"result.273" 273 1.71266331374063
"result.274" 274 7.57905764870237
"result.275" 275 5.46600341426078
"result.276" 276 15.8215247792911
"result.277" 277 NA
"result.278" 278 22.1185312448266
"result.279" 279 10.2284698028154
"result.280" 280 0.92546715322562
"result.281" 281 4.99556801119744
"result.282" 282 4.82822063763108
"result.283" 283 6.2657210517316
"result.284" 284 2.18170972689102
"result.285" 285 3.31424307861989
"result.286" 286 7.27011426385746
"result.287" 287 8.10644946621585
"result.288" 288 16.0240922027652
"result.289" 289 NA
"result.290" 290 NA
"result.291" 291 NA
"result.292" 292 NA
"result.293" 293 26.9951322461112
"result.294" 294 3.65932109176301
"result.295" 295 7.18584489153567
"result.296" 296 0.592201082861621
"result.297" 297 NA
"result.298" 298 NA
"result.299" 299 12.484831354805
"result.300" 300 3.0163322883907
"result.301" 301 NA
"result.302" 302 14.3317788546696
"result.303" 303 2.17850706903746
"result.304" 304 1.80228874869358
"result.305" 305 7.20146878082643
"result.306" 306 5.67264988450683
"result.307" 307 4.22231653706632
"result.308" 308 13.7046833344397
"result.309" 309 13.8247478851451
"result.310" 310 NA
"result.311" 311 11.6834909643025
"result.312" 312 1.50291390366168
"result.313" 313 9.38668768508076
"result.314" 314 NA
"result.315" 315 8.75023548324271
"result.316" 316 3.88312249660311
"result.317" 317 12.9179572716473
"result.318" 318 3.88121185898199
"result.319" 319 2.89115237433185
"result.320" 320 23.7596471911703
"result.321" 321 2.23152768328148
"result.322" 322 4.98384532882215
"result.323" 323 5.3652224246436
"result.324" 324 6.92889878613538
"result.325" 325 3.88177483405706
"result.326" 326 10.8401278753254
"result.327" 327 4.79010618647333
"result.328" 328 3.20817150409726
"result.329" 329 6.29377614782006
"result.330" 330 9.08857284279189
"result.331" 331 9.64107609499028
"result.332" 332 5.92504612324299
"result.333" 333 NA
"result.334" 334 16.0347956865328
"result.335" 335 0.718580959331375
"result.336" 336 NA
"result.337" 337 2.12384876595421
"result.338" 338 3.57949870548341
"result.339" 339 4.2479270474825
"result.340" 340 6.57443555137178
"result.341" 341 6.90173275736673
"result.342" 342 NA
"result.343" 343 NA
"result.344" 344 NA
"result.345" 345 NA
"result.346" 346 2.57949184936032
"result.347" 347 4.8971959598926
"result.348" 348 7.86278541015306
"result.349" 349 8.03780495063506
"result.350" 350 1.04695523117794
"result.351" 351 NA
"result.352" 352 3.68493039141168
"result.353" 353 4.38412637195097
"result.354" 354 NA
"result.355" 355 1.07962810803459
"result.356" 356 4.29777044011339
"result.357" 357 3.77266128549308
"result.358" 358 3.31006380541227
"result.359" 359 17.3937111301642
"result.360" 360 4.31857696508433
"result.361" 361 3.48264965468138
"result.362" 362 4.93410461892636
"result.363" 363 16.5916529679422
"result.364" 364 3.08850564688027
"result.365" 365 3.59524756659996
"result.366" 366 4.34523348573013
"result.367" 367 NA
"result.368" 368 10.0598253932073
"result.369" 369 3.72488345486319
"result.370" 370 NA
"result.371" 371 2.23274371002818
"result.372" 372 4.09269080200989
"result.373" 373 NA
"result.374" 374 14.1165814353392
"result.375" 375 11.6337626568558
"result.376" 376 5.80299383164471
"result.377" 377 4.01646365881528
"result.378" 378 6.32051127010083
"result.379" 379 21.6573826297134
"result.380" 380 4.65523258734569
"result.381" 381 8.27478765121007
"result.382" 382 13.7256860064609
"result.383" 383 13.1255424621519
"result.384" 384 5.96421706390872
"result.385" 385 8.10531778596405
"result.386" 386 20.4095023458708
"result.387" 387 1.67349677125887
"result.388" 388 NA
"result.389" 389 1.87649783268526
"result.390" 390 10.823355364389
"result.391" 391 13.1287393534118
"result.392" 392 1.7328030476061
"result.393" 393 2.84813743170621
"result.394" 394 NA
"result.395" 395 5.4486925619315
"result.396" 396 1.88630830734179
"result.397" 397 1.24492902681525
"result.398" 398 4.12274741938798
"result.399" 399 9.00027613937972
"result.400" 400 11.2036447686596
"result.401" 401 NA
"result.402" 402 NA
"result.403" 403 0.778184683798418
"result.404" 404 NA
"result.405" 405 2.18232271394979
"result.406" 406 4.29163884237448
"result.407" 407 NA
"result.408" 408 11.7010456886785
"result.409" 409 3.06769030823822
"result.410" 410 3.85188065178446
"result.411" 411 12.1936883030483
"result.412" 412 4.2239315612255
"result.413" 413 17.7782464071623
"result.414" 414 9.35195789632579
"result.415" 415 12.8732525125004
"result.416" 416 NA
"result.417" 417 10.9656882265482
"result.418" 418 8.30281787161245
"result.419" 419 2.58978077320463
"result.420" 420 NA
"result.421" 421 4.00721937842508
"result.422" 422 NA
"result.423" 423 7.73353259370331
"result.424" 424 14.6198813240279
"result.425" 425 0.749291940244597
"result.426" 426 13.9692915039241
"result.427" 427 3.63122808958707
"result.428" 428 15.425530110479
"result.429" 429 9.97526771956519
"result.430" 430 1.83878769733964
"result.431" 431 10.816100137711
"result.432" 432 6.38990548159835
"result.433" 433 5.30524575627488
"result.434" 434 16.3990916864303
"result.435" 435 12.1899478313053
"result.436" 436 NA
"result.437" 437 9.43926668263559
"result.438" 438 10.9461972023185
