"V1" "V2"
"result.1" 1 2.81093070012663
"result.2" 2 3.2895989845392
"result.3" 3 4.73744751756311
"result.4" 4 8.73098272469799
"result.5" 5 7.03079190910969
"result.6" 6 0.924399341849403
"result.7" 7 4.92466877235491
"result.8" 8 1.41106415701156
"result.9" 9 8.61143951599485
"result.10" 10 20.1167252783874
"result.11" 11 18.1283692671721
"result.12" 12 49.9729557263479
"result.13" 13 7.97613389329658
"result.14" 14 NA
"result.15" 15 6.3563821803752
"result.16" 16 NA
"result.17" 17 NA
"result.18" 18 2.10405339876512
"result.19" 19 10.0140775430145
"result.20" 20 7.95507754623024
"result.21" 21 5.56681077143937
"result.22" 22 NA
"result.23" 23 NA
"result.24" 24 15.9371532502898
"result.25" 25 8.77124927776683
"result.26" 26 6.20448249316229
"result.27" 27 NA
"result.28" 28 NA
"result.29" 29 2.8668005658893
"result.30" 30 NA
"result.31" 31 13.5435730002831
"result.32" 32 NA
"result.33" 33 NA
"result.34" 34 8.11526198739362
"result.35" 35 16.5859421925632
"result.36" 36 NA
"result.37" 37 0.299246802532605
"result.38" 38 8.59149592984923
"result.39" 39 3.13345433806336
"result.40" 40 6.87255792380271
"result.41" 41 3.84411163735948
"result.42" 42 4.84235037712609
"result.43" 43 8.38236177332289
"result.44" 44 NA
"result.45" 45 0.591058129852452
"result.46" 46 NA
"result.47" 47 2.71875402086986
"result.48" 48 12.5944821051127
"result.49" 49 2.67129346724452
"result.50" 50 11.5795105996069
"result.51" 51 8.43848390015137
"result.52" 52 NA
"result.53" 53 12.2836246620262
"result.54" 54 NA
"result.55" 55 NA
"result.56" 56 3.01613872690052
"result.57" 57 10.7706737230678
"result.58" 58 6.30989778549475
"result.59" 59 2.93890704446879
"result.60" 60 8.79036707487599
"result.61" 61 2.63822637480991
"result.62" 62 10.1108126115309
"result.63" 63 11.2638517310374
"result.64" 64 3.77987452948828
"result.65" 65 6.29521215149091
"result.66" 66 NA
"result.67" 67 NA
"result.68" 68 4.49298677184658
"result.69" 69 3.73114662143149
"result.70" 70 5.66615275730938
"result.71" 71 0.634017137711756
"result.72" 72 2.86583359362698
"result.73" 73 4.19497203419987
"result.74" 74 NA
"result.75" 75 7.52678453996459
"result.76" 76 2.5622737703238
"result.77" 77 4.08164615826914
"result.78" 78 17.471333270286
"result.79" 79 2.48023651488434
"result.80" 80 9.58032496104745
"result.81" 81 NA
"result.82" 82 5.22735961291869
"result.83" 83 8.85572300083443
"result.84" 84 7.44126032522304
"result.85" 85 NA
"result.86" 86 2.60440974770974
"result.87" 87 10.3643799307821
"result.88" 88 8.72523564053708
"result.89" 89 9.37744147306618
"result.90" 90 NA
"result.91" 91 7.9443555456586
"result.92" 92 NA
"result.93" 93 0.798757147165299
"result.94" 94 5.09087294828106
"result.95" 95 6.32277087984948
"result.96" 96 15.9298781785585
"result.97" 97 2.35267046684689
"result.98" 98 9.5871567812742
"result.99" 99 2.00681529251757
"result.100" 100 NA
"result.101" 101 23.4731993099493
"result.102" 102 14.1949153086185
"result.103" 103 NA
"result.104" 104 2.88630455033006
"result.105" 105 9.18429433985514
"result.106" 106 7.84043551233633
"result.107" 107 5.55398412986614
"result.108" 108 7.53977558132005
"result.109" 109 2.05749886896749
"result.110" 110 13.0095295366117
"result.111" 111 3.89259422874768
"result.112" 112 14.8906443333775
"result.113" 113 NA
"result.114" 114 0.962853758817192
"result.115" 115 2.01722606273262
"result.116" 116 NA
"result.117" 117 5.21730196867696
"result.118" 118 10.7816189739516
"result.119" 119 16.7824115524892
"result.120" 120 9.9395838107387
"result.121" 121 2.84661841223368
"result.122" 122 13.1411122563612
"result.123" 123 NA
"result.124" 124 NA
"result.125" 125 NA
"result.126" 126 6.76357192467079
"result.127" 127 7.26415746963956
"result.128" 128 13.1685550771099
"result.129" 129 4.30242237349809
"result.130" 130 1.86943632487232
"result.131" 131 7.35062533344864
"result.132" 132 4.19526953818663
"result.133" 133 1.97932978372439
"result.134" 134 4.90453216889465
"result.135" 135 NA
"result.136" 136 18.5432165381545
"result.137" 137 NA
"result.138" 138 0.291706040494804
"result.139" 139 3.03023048670699
"result.140" 140 4.14006896619257
"result.141" 141 1.89347188420548
"result.142" 142 8.38930120074128
"result.143" 143 18.4748048745424
"result.144" 144 12.5200740795761
"result.145" 145 7.66876060037095
"result.146" 146 NA
"result.147" 147 1.33763089645954
"result.148" 148 5.08394100004735
"result.149" 149 NA
"result.150" 150 5.99126593267845
"result.151" 151 18.0757171587318
"result.152" 152 4.64338857253257
"result.153" 153 3.43385470655061
"result.154" 154 11.3118745528171
"result.155" 155 7.72663602403836
"result.156" 156 6.16807057861613
"result.157" 157 3.99544217097329
"result.158" 158 18.3951017232649
"result.159" 159 0.631045098572755
"result.160" 160 4.96754843189767
"result.161" 161 11.5800666929321
"result.162" 162 0.575097124282372
"result.163" 163 15.0881022323287
"result.164" 164 10.0530378426069
"result.165" 165 4.68246947856555
"result.166" 166 15.2145746259774
"result.167" 167 15.7206031505269
"result.168" 168 9.91700191225234
"result.169" 169 1.98097355206732
"result.170" 170 NA
"result.171" 171 9.7845268917786
"result.172" 172 7.21239895784808
"result.173" 173 2.54890862940584
"result.174" 174 2.71983021871563
"result.175" 175 0.77384919516739
"result.176" 176 NA
"result.177" 177 4.12283596711487
"result.178" 178 2.1699924691156
"result.179" 179 NA
"result.180" 180 3.35272406162436
"result.181" 181 NA
"result.182" 182 2.79622504873178
"result.183" 183 4.5330665288633
"result.184" 184 12.4058896348982
"result.185" 185 14.521790284064
"result.186" 186 13.7158862728984
"result.187" 187 NA
"result.188" 188 NA
"result.189" 189 2.98139305959567
"result.190" 190 NA
"result.191" 191 NA
"result.192" 192 NA
"result.193" 193 8.09647414033369
"result.194" 194 18.3600483564994
"result.195" 195 NA
"result.196" 196 10.606458884101
"result.197" 197 NA
"result.198" 198 NA
