"V1" "V2"
"result.1" 1 0.111572950512831
"result.2" 2 0.707648631076681
"result.3" 3 0.107979730015113
"result.4" 4 0.779865863099786
"result.5" 5 0.668405591912576
"result.6" 6 2.64447086761749
"result.7" 7 0.402050212206206
"result.8" 8 0.148703262569446
"result.9" 9 0.476361218050926
"result.10" 10 0.271364314744997
"result.11" 11 0.367531115438461
"result.12" 12 0.700705495060785
"result.13" 13 1.02782546221016
"result.14" 14 0.557477602320358
"result.15" 15 0.667554486731288
"result.16" 16 3.55015154977788
"result.17" 17 0.365087662863672
"result.18" 18 0.148344441497745
"result.19" 19 0.0595344222695156
"result.20" 20 2.28810083077395
"result.21" 21 2.79583001633756
"result.22" 22 0.213671210696254
"result.23" 23 0.474779910164696
"result.24" 24 0.196546665621949
"result.25" 25 0.160352969685612
"result.26" 26 0.106410354150308
"result.27" 27 0.207448046043285
"result.28" 28 0.204970333923511
"result.29" 29 0.0808589415558469
"result.30" 30 0.272482088089259
"result.31" 31 1.56266422971906
"result.32" 32 1.55644586254105
"result.33" 33 0.274329116883331
"result.34" 34 0.0315960291877872
"result.35" 35 0.0790010396831424
"result.36" 36 0.804961297096483
"result.37" 37 4.6921665679336
"result.38" 38 0.0710256014099377
"result.39" 39 0.0705234641970826
"result.40" 40 0.176629515125736
"result.41" 41 0.214798756175793
"result.42" 42 0.455454502548588
"result.43" 43 0.161100499801347
"result.44" 44 0.347793919655472
"result.45" 45 0.321371744196117
"result.46" 46 0.360628110506273
"result.47" 47 0.96781722665299
"result.48" 48 0.0761240735929323
"result.49" 49 0.395762927243265
"result.50" 50 0.155672643609122
"result.51" 51 0.44329048966102
"result.52" 52 0.0631448245215901
"result.53" 53 1.07693347383552
"result.54" 54 5.24814452109141
"result.55" 55 3.91033081597399
"result.56" 56 0.647613761288409
"result.57" 57 0.737219706680013
"result.58" 58 0.107489989649621
"result.59" 59 0.205000596798315
"result.60" 60 0.850801322681125
"result.61" 61 0.930412252113747
"result.62" 62 0.382871191159137
"result.63" 63 0.356302086214633
"result.64" 64 0.270413537822586
"result.65" 65 0.488963818561691
"result.66" 66 0.0685032858595269
"result.67" 67 0.0784591236293678
"result.68" 68 0.413202068967072
"result.69" 69 0.383385936770816
"result.70" 70 0.0463551001912789
"result.71" 71 0.0842298470282195
"result.72" 72 0.664345639399985
"result.73" 73 0.242273745732732
"result.74" 74 0.466580103631586
"result.75" 75 0.062321845394008
"result.76" 76 0.0711319094859132
"result.77" 77 0.469945379921304
"result.78" 78 0.298748591011081
"result.79" 79 0.0776760499254665
"result.80" 80 0.0784769110926914
"result.81" 81 0.325820661936796
"result.82" 82 0.228925411764439
"result.83" 83 0.911656452229885
"result.84" 84 0.0781593572190871
"result.85" 85 0.185236881064712
"result.86" 86 3.3885540704389
"result.87" 87 0.892959329593169
"result.88" 88 3.41805591265556
"result.89" 89 1.13672155974232
"result.90" 90 0.413625612316528
"result.91" 91 0.163069085968595
"result.92" 92 0.473318073433442
"result.93" 93 1.21101799558147
"result.94" 94 0.198471044499969
"result.95" 95 0.360987691478746
"result.96" 96 0.256835494834817
"result.97" 97 0.666023435118864
"result.98" 98 0.603120819986894
"result.99" 99 0.147451849811893
"result.100" 100 1.99426299264553
"result.101" 101 1.20028322075941
"result.102" 102 0.137590957561758
"result.103" 103 0.67916912393494
"result.104" 104 0.583805485334265
"result.105" 105 0.761010290480778
"result.106" 106 0.443002053291193
"result.107" 107 2.01422450412755
"result.108" 108 0.420556672303428
"result.109" 109 0.544676811092602
"result.110" 110 0.0692450597863995
"result.111" 111 0.511583033604025
"result.112" 112 1.29380507747699
"result.113" 113 0.179081402345659
"result.114" 114 0.0574144605655822
"result.115" 115 0.429582124602884
"result.116" 116 0.615467585799535
"result.117" 117 1.16062029519987
"result.118" 118 1.16407235902421
"result.119" 119 0.293093254222747
"result.120" 120 0.124314069791412
"result.121" 121 0.238634748527793
"result.122" 122 0.349297326839411
"result.123" 123 1.00439229603694
"result.124" 124 0.718141450123868
"result.125" 125 0.115250441786703
"result.126" 126 1.39132544400048
"result.127" 127 0.154327247949261
"result.128" 128 0.109016274346758
"result.129" 129 0.155218820442764
"result.130" 130 1.62071338122017
"result.131" 131 1.76923888469019
"result.132" 132 0.729911384428583
"result.133" 133 0.349047693276373
"result.134" 134 0.0990120816048077
"result.135" 135 1.38747026182863
"result.136" 136 0.247528445999344
"result.137" 137 0.146606992899433
"result.138" 138 0.144260248470066
"result.139" 139 0.140643423471064
"result.140" 140 0.049939752050497
"result.141" 141 2.60535006388069
"result.142" 142 0.176469967445991
"result.143" 143 0.297860090020348
"result.144" 144 0.0740990816320552
"result.145" 145 0.619389444585177
"result.146" 146 0.718881482758233
"result.147" 147 0.140079948779975
"result.148" 148 2.05174166443609
"result.149" 149 0.829816574557999
"result.150" 150 0.129727211615656
"result.151" 151 0.100253657638764
"result.152" 152 0.175996513010178
"result.153" 153 0.60636521037532
"result.154" 154 0.175389899607745
"result.155" 155 0.139204380041037
"result.156" 156 0.515294831369153
"result.157" 157 0.231987563549457
"result.158" 158 0.99759208482502
"result.159" 159 0.546333242029135
"result.160" 160 0.956777036825259
"result.161" 161 0.892875067021064
"result.162" 162 0.246649655258265
"result.163" 163 0.547931045591742
"result.164" 164 1.6842946881908
"result.165" 165 0.756056605183608
"result.166" 166 0.316246533814269
"result.167" 167 0.0794708256162425
"result.168" 168 3.60303398827095
"result.169" 169 0.0717865312960341
"result.170" 170 1.72514123011301
"result.171" 171 0.361267643851901
"result.172" 172 0.515172900172023
"result.173" 173 0.0635678731061136
"result.174" 174 0.53414874568014
"result.175" 175 0.157345820893925
"result.176" 176 0.654970838532783
"result.177" 177 0.288402164216675
"result.178" 178 8.87983602983294
"result.179" 179 0.119193639059341
"result.180" 180 9.11282857634415
"result.181" 181 0.164627451289377
"result.182" 182 1.10615261448928
"result.183" 183 0.0671781429153856
"result.184" 184 1.32167947151207
"result.185" 185 0.117170207693043
"result.186" 186 2.69997722901421
"result.187" 187 0.349171283748324
"result.188" 188 0.0808186108039286
"result.189" 189 0.845451480304965
"result.190" 190 0.150659019607524
"result.191" 191 0.584901608787155
"result.192" 192 4.55121708838195
"result.193" 193 0.261581044055031
"result.194" 194 0.615355861017013
"result.195" 195 0.137068276841824
"result.196" 196 0.117680321350218
"result.197" 197 0.154616929271131
"result.198" 198 1.26609698283757
"result.199" 199 0.0743308507609347
"result.200" 200 0.0818475210203543
"result.201" 201 0.641087961832722
"result.202" 202 0.163854167348751
"result.203" 203 0.425932113417191
"result.204" 204 0.0892481347632309
"result.205" 205 0.0948223347243259
